Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Klug 2002;Agoniatites expansus;;GPIT 1862-266;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Agoniatites expansus (vanuxemi) - GPIT 1849.266 (wh 5.0 mm) - Klug 2002;5
D. Korn;Agoniatites obliquus;;GPIT 1849.312;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;Whidborne 1890;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Agoniatites obliquus - GPIT 1849.312 - (wh 16.2 mm) - Klug 2002;16,2
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl1 (wh 14.9 mm) - Klug 2002;14,9
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl2 (wh 12.4 mm) - Klug 2002;12,4
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl3 (wh 9.2 mm) - Klug 2002;9,2
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl4 (wh 8.1 mm) - Klug 2002;8,1
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl5 (wh 6.3 mm) - Klug 2002;6,3
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl6 (wh 5.0 mm) - Klug 2002;5
D. Korn;Cabrieroceras crispiforme;;Cabrcris1 ;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris1 - (wh 22.3 mm) - D. Korn;22,3
D. Korn;Cabrieroceras crispiforme;;Cabrcris2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris2 - (wh 15.5 mm) - D. Korn;15,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris3 - (wh 10.9 mm) - D. Korn;10,9
D. Korn;Cabrieroceras crispiforme;;Cabrcris4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris4 - (wh 7.8 mm) - D. Korn;7,8
D. Korn;Cabrieroceras crispiforme;;Cabrcris5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris5 - (wh 5.5 mm) - D. Korn;5,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris6 - (wh 3.5 mm) - D. Korn;3,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras crispiforme - Cabrcris7 - (wh 2.5 mm) - D. Korn;2,5
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl1 (wh 20.0 mm) - Korn and Klug 2002;20
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl2 (wh 14.2 mm) - Korn and Klug 2002;14,2
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl3 (wh 11.7 mm) - Korn and Klug 2002;11,7
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl4 (wh 9.0 mm) - Korn and Klug 2002;9
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl5 (wh 8.2 mm) - Korn and Klug 2002;8,2
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl6 (wh 6.2 mm) - Korn and Klug 2002;6,2
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl7 (wh 4.7 mm) - Korn and Klug 2002;4,7
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl8 (wh 3.7 mm) - Korn and Klug 2002;3,7
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar1 - (wh 31.8 mm) - D. Korn;31,8
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar2 - (wh 22.9 mm) - D. Korn;22,9
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar3 - (wh 14.0 mm) - D. Korn;14
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar4 - (wh 8.6 mm) - D. Korn;8,6
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar5 - (wh 5.4 mm) - D. Korn;5,4
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar6 - (wh 3.2 mm) - D. Korn;3,2
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Fidelites bicanaliculatus - Fideclar7 - (wh 2.0 mm) - D. Korn;2
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv1 - (wh 16.7 mm) - D. Korn;16,7
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv2 - (wh 13.0 mm) - D. Korn;13
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv3 - (wh 8.9 mm) - D. Korn;8,9
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv4 - (wh 7.8 mm) - D. Korn;7,8
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv5 - (wh 5.5 mm) - D. Korn;5,5
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv6 - (wh 4.6 mm) - D. Korn;4,6
D. Korn;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Holzapfeloceras convolutum - Holzconv7 - (wh 3.2 mm) - D. Korn;3,2
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl1 - (wh 33.4 mm) - Korn and Klug 2002;33,4
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl2 - (wh 23.3 mm) - Korn and Klug 2002;23,3
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl3 - (wh 15.4 mm) - Korn and Klug 2002;15,4
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl4 - (wh 12.2 mm) - Korn and Klug 2002;12,2
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl5 - (wh 8.6 mm) - D. Korn;8,6
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl6 - (wh 6.2 mm) - D. Korn;6,2
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl7 - (wh 5.1 mm) - D. Korn;5,1
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Diallagites lenticulifer - Fig.123D.whorl8 - (wh 3.9 mm) - D. Korn;3,9
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl1 - (wh 27.0 mm) - Korn and Klug 2002;27
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl2 - (wh 19.7 mm) - Korn and Klug 2002;19,7
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl3 - (wh 14.7 mm) - Korn and Klug 2002;14,7
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl4 - (wh 11.1 mm) - Korn and Klug 2002;11,1
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl5 - (wh 7.9 mm) - Korn and Klug 2002;7,9
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl6 - (wh 6.2 mm) - Korn and Klug 2002;6,2
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl7 - (wh 4.2 mm) - Korn and Klug 2002;4,2
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl1 - wh(21.0 mm) - Klug 2002;21
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl2 - wh(15.4 mm) - Klug 2002;15,4
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl3 - wh(11.8 mm) - Klug 2002;11,8
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl4 - wh(8.6 mm) - Klug 2002;8,6
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl5 - wh(6.6 mm) - Klug 2002;6,6
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-128.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes marhoumensis - GPIT 1862.128.whorl1 (wh 8.2 mm) - Klug 2002;8,2
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-128.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes marhoumensis - GPIT 1862.128.whorl2 - (wh 6.8 mm) - Klug 2002;6,8
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-128.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Subanarcestes marhoumensis - GPIT 1862.128.whorl3 - (wh 4.9 mm) - Klug 2002;4,9
Klug 2002;Agoniatites expansus;;GPIT 1862-266;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Agoniatites expansus (vanuxemi) - GPIT 1849.266 (wh 5.0 mm) - Klug 2002;5
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl1 (wh 14.9 mm) - Klug 2002;14,9
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl2 (wh 12.4 mm) - Klug 2002;12,4
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl3 (wh 9.2 mm) - Klug 2002;9,2
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl4 (wh 8.1 mm) - Klug 2002;8,1
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl5 (wh 6.3 mm) - Klug 2002;6,3
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl6 (wh 5.0 mm) - Klug 2002;5
D. Korn;Cabrieroceras crispiforme;;Cabrcris1 ;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris1 - (wh 22.3 mm) - D. Korn;22,3
D. Korn;Cabrieroceras crispiforme;;Cabrcris2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris2 - (wh 15.5 mm) - D. Korn;15,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris3 - (wh 10.9 mm) - D. Korn;10,9
D. Korn;Cabrieroceras crispiforme;;Cabrcris4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris4 - (wh 7.8 mm) - D. Korn;7,8
D. Korn;Cabrieroceras crispiforme;;Cabrcris5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris5 - (wh 5.5 mm) - D. Korn;5,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris6 - (wh 3.5 mm) - D. Korn;3,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras crispiforme - Cabrcris7 - (wh 2.5 mm) - D. Korn;2,5
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl1 (wh 20.0 mm) - Korn and Klug 2002;20
