Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;40,7;27,8;0,8;16,9;23,5;12,9;0,42;0,02;2,14;0,72;0,45
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;27,8;18,8;0,5;12;16,6;9;0,43;0,02;2,19;0,72;0,46
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;18,8;13;0,5;8,3;11,1;5,8;0,44;0,03;2,09;0,75;0,48
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;19,5;13,1;6,6;7,1;7,8;6,4;0,36;0,34;2,22;0,91;0,18
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;13,1;9;4,3;5,8;5,2;4,2;0,44;0,33;2,14;1,12;0,2
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;9;6,1;2,8;4,9;3,8;2,9;0,55;0,31;2,19;1,31;0,23
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;6,1;4,3;1,9;3,6;2,5;1,8;0,59;0,31;2,03;1,45;0,27
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;4,3;3,1;1,4;2,7;1,7;1,2;0,62;0,33;1,88;1,56;0,32
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl6;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;3,1;2,4;1,3;1,8;1,2;0,8;0,58;0,4;1,74;1,57;0,35
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;8,1;6;3,8;2,8;2,7;2,1;0,35;0,47;1,82;1,07;0,21
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;6;4,8;3,1;2,4;1,7;1,3;0,4;0,51;1,6;1,47;0,24
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;4,8;3,8;2,5;0,2;1,3;0,9;0,04;0,53;1,55;0,14;0,28
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;3,8;3,1;2;1,7;1;0,7;0,45;0,52;1,51;1,74;0,28
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;3,1;2,4;1,5;1,4;0,9;0,7;0,46;0,49;1,64;1,57;0,26
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;2,4;1,9;1,3;1,3;0,7;0,5;0,52;0,52;1,65;1,83;0,23
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;1,9;1,5;0,9;0,9;0,5;0,4;0,49;0,49;1,65;1,74;0,22
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;29,5;23;2,3;12;15,8;6,5;0,41;0,08;1,65;0,76;0,59
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;23,4;18,1;2,8;11,3;11,5;5,3;0,48;0,12;1,67;0,98;0,54
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;18,1;13,9;3,1;9,5;9;4,2;0,52;0,17;1,7;1,06;0,53
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;13,9;10,5;3,7;9,3;5,9;3,4;0,67;0,26;1,75;1,58;0,42
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;10,5;8;3;7;4,8;2,5;0,67;0,29;1,72;1,46;0,48
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;8,1;6,2;2,6;6,3;3,2;1,9;0,77;0,32;1,71;1,98;0,4
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;20;14,4;0,2;6,8;11,8;5,6;0,34;0,01;1,92;0,58;0,53
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;14,4;10,9;1,2;6;7,9;3,6;0,41;0,08;1,76;0,75;0,55
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;10,9;8,3;1,5;5;5,4;2,6;0,46;0,13;1,71;0,93;0,53
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;8,3;6,3;1,7;4,5;4;2,1;0,54;0,2;1,76;1,11;0,49
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;6,3;4,8;1,8;3,5;2,6;1,5;0,55;0,28;1,7;1,35;0,43
Becker et al 2004;Bensaidites crassus;;specimen.Pl.1.Figs.5-6;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Bensaidites;Korn and Klug 2002;Bensaid 1974;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;6,6;4,9;1,6;4,4;2,9;1,7;0,67;0,24;1,81;1,52;0,41
Korn and Klug 2002;Sellagoniatites waldschmidti;;Fig.85A;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Sellagoniatitinae;Sellagoniatites;House 1963;Korn and Klug 2002;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;61,8;36,5;13,5;18,5;32,8;25,3;0,3;0,22;2,87;0,56;0,23
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;19,5;13,1;6,6;7,1;7,8;6,4;0,36;0,34;2,22;0,91;0,18
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;13,1;9;4,3;5,8;5,2;4,2;0,44;0,33;2,14;1,12;0,2
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;9;6,1;2,8;4,9;3,8;2,9;0,55;0,31;2,19;1,31;0,23
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;6,1;4,3;1,9;3,6;2,5;1,8;0,59;0,31;2,03;1,45;0,27
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;4,3;3,1;1,4;2,7;1,7;1,2;0,62;0,33;1,88;1,56;0,32
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl6;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;3,1;2,4;1,3;1,8;1,2;0,8;0,58;0,4;1,74;1,57;0,35
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;8,1;6;3,8;2,8;2,7;2,1;0,35;0,47;1,82;1,07;0,21
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;6;4,8;3,1;2,4;1,7;1,3;0,4;0,51;1,6;1,47;0,24
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;4,8;3,8;2,5;0,2;1,3;0,9;0,04;0,53;1,55;0,14;0,28
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;3,8;3,1;2;1,7;1;0,7;0,45;0,52;1,51;1,74;0,28
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;3,1;2,4;1,5;1,4;0,9;0,7;0,46;0,49;1,64;1,57;0,26
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;2,4;1,9;1,3;1,3;0,7;0,5;0,52;0,52;1,65;1,83;0,23
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;1,9;1,5;0,9;0,9;0,5;0,4;0,49;0,49;1,65;1,74;0,22
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;29,5;23;2,3;12;15,8;6,5;0,41;0,08;1,65;0,76;0,59
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;23,4;18,1;2,8;11,3;11,5;5,3;0,48;0,12;1,67;0,98;0,54
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;18,1;13,9;3,1;9,5;9;4,2;0,52;0,17;1,7;1,06;0,53
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;13,9;10,5;3,7;9,3;5,9;3,4;0,67;0,26;1,75;1,58;0,42
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;10,5;8;3;7;4,8;2,5;0,67;0,29;1,72;1,46;0,48
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;8,1;6,2;2,6;6,3;3,2;1,9;0,77;0,32;1,71;1,98;0,4
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;20;14,4;0,2;6,8;11,8;5,6;0,34;0,01;1,92;0,58;0,53
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;14,4;10,9;1,2;6;7,9;3,6;0,41;0,08;1,76;0,75;0,55
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;10,9;8,3;1,5;5;5,4;2,6;0,46;0,13;1,71;0,93;0,53
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;8,3;6,3;1,7;4,5;4;2,1;0,54;0,2;1,76;1,11;0,49
Korn and Klug 2002;Maenioceras terebratum;;Fig.133A.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Maenioceras;Schindewolf 1933;Sandberger and Sandberger 1851;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;6,3;4,8;1,8;3,5;2,6;1,5;0,55;0,28;1,7;1,35;0,43
Becker et al 2004;Bensaidites crassus;;specimen.Pl.1.Figs.5-6;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Bensaidites;Korn and Klug 2002;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;6,6;4,9;1,6;4,4;2,9;1,7;0,67;0,24;1,81;1,52;0,41
Korn and Klug 2002;Sellagoniatites waldschmidti;;Fig.85A;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Sellagoniatitinae;Sellagoniatites;House 1963;Korn and Klug 2002;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;61,8;36,5;13,5;18,5;32,8;25,3;0,3;0,22;2,87;0,56;0,23
Korn and Klug 2002;Meragoniatites meridionalis;;Fig89.D.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Meragoniatites;Korn 2001;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;12,8;8,1;4,9;4,6;5;4,7;0,36;0,38;2,5;0,92;0,06
Korn and Klug 2002;Meragoniatites meridionalis;;Fig89.D.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Meragoniatites;Korn 2001;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;8,1;5,5;3,6;3,1;2,9;2,6;0,38;0,44;2,17;1,04;0,11
Korn and Klug 2002;Meragoniatites meridionalis;;Fig89.D.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Meragoniatites;Korn 2001;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;5,5;4;2,5;2,2;1,7;1,5;0,4;0,45;1,89;1,29;0,12
Korn and Klug 2002;Meragoniatites meridionalis;;Fig89.D.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Meragoniatites;Korn 2001;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;4,1;2,9;1,8;1,6;1,3;1,1;0,4;0,43;1,92;1,25;0,13
Becker et al 2004;Trevoneites assesi;;specimen.Pl.1.Figs.13-14;Goniatitida;Tornoceratina;Tornocerataceae;Parodoceratidae;Parodoceratinae;Trevoneites;Becker and House 1994;Goddertz 1987;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;12,5;8,5;1,7;4,2;6,7;4;0,34;0,14;2,16;0,63;0,4
Klug 2002;Trevoneites assesi;;GPIT 1871-256;Goniatitida;Tornoceratina;Tornocerataceae;Parodoceratidae;Parodoceratinae;Trevoneites;Becker et House 1994;Goddertz 1987;Givetian;middle Givetian;Afromaenioceras n sp;Interval 6;7,9;5,8;1,1;5,4;3,5;2,1;0,68;0,14;1,86;1,54;0,4
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;19,5;13,1;6,6;7,1;7,8;6,4;0,36;0,34;2,22;0,91;0,18
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;13,1;9;4,3;5,8;5,2;4,2;0,44;0,33;2,14;1,12;0,2
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;9;6,1;2,8;4,9;3,8;2,9;0,55;0,31;2,19;1,31;0,23
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;6,1;4,3;1,9;3,6;2,5;1,8;0,59;0,31;2,03;1,45;0,27
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;4,3;3,1;1,4;2,7;1,7;1,2;0,62;0,33;1,88;1,56;0,32
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl6;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;3,1;2,4;1,3;1,8;1,2;0,8;0,58;0,4;1,74;1,57;0,35
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;8,1;6;3,8;2,8;2,7;2,1;0,35;0,47;1,82;1,07;0,21
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;6;4,8;3,1;2,4;1,7;1,3;0,4;0,51;1,6;1,47;0,24
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;4,8;3,8;2,5;0,2;1,3;0,9;0,04;0,53;1,55;0,14;0,28
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;3,8;3,1;2;1,7;1;0,7;0,45;0,52;1,51;1,74;0,28
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;3,1;2,4;1,5;1,4;0,9;0,7;0,46;0,49;1,64;1,57;0,26
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;2,4;1,9;1,3;1,3;0,7;0,5;0,52;0,52;1,65;1,83;0,23
Korn and Klug 2002;Atlantoceras tataense;;Fig89.A.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Atlantoceratidae;Atlantoceratinae;Atlantoceras;Bensaid 1974;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;1,9;1,5;0,9;0,9;0,5;0,4;0,49;0,49;1,65;1,74;0,22
Korn and Klug 2002;Afromaenioceras sulcatostriatum;;Fig.133B.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Maenioceratidae;Maenioceratinae;Afromaenioceras;Goddertz 1987;Bensaid 1974;Givetian;middle Givetian;Afromaenioceras sulcatostriatum;Interval 6;29,5;23;2,3;12;15,8;6,5;0,41;0,08;1,65;0,76;0,59
